date,song,artist,region,rank,views,likes,genre
2024-09-29,plutoski,future,Global,32,5290681627,183725474,EDM
2024-09-29,who,jimin,Global,73,4298334804,129383806,EDM
2024-09-29,kehlani,jordan adetunji,Global,34,12623133186,551245639,Hip-Hop
2024-09-29,it's ok i'm ok,tate mcrae,Global,7,33463723041,2571839312,EDM
2024-09-29,tgif,glorilla,Global,42,7366531754,288566903,Pop
2024-09-29,i can do it with a broken heart,taylor swift,Global,38,1239911115,43219822,Pop
2024-09-29,pour me a drink,post malone featuring blake shelton,Global,158,4613604099,154345514,Pop
2024-09-29,saturn,sza,Global,70,3138545827,153874410,Pop
2024-09-29,28,zach bryan,Global,143,3679155893,134331680,EDM
2024-09-29,dancing in the flames,the weeknd,Global,172,686028728,26623679,EDM
2024-09-29,like that,"future, metro boomin & kendrick lamar",Global,47,1133011670,35962358,Rock
2024-09-29,stargazing,myles smith,Global,91,3970486240,193802928,Rock
2024-09-29,you look like you love me,ella langley featuring riley green,Global,105,1996535871,81904782,Pop
2024-09-29,ready to cook up,future,Global,193,1041460959,40684742,Rock
2024-09-29,si antes te hubiera conocido,karol g,Global,143,4723284753,192705481,Rock
2024-09-29,guy for that,post malone featuring luke combs,Global,198,18720220800,873136536,Rock
2024-09-29,wildflower,billie eilish,Global,95,4230070761,176328136,Pop
2024-09-29,ocean,future,Global,65,583357605,23534912,EDM
2024-09-29,sailor song,gigi perez,Global,27,8028035677,325568105,Rock
2024-09-29,stick season,noah kahan,Global,179,4901144115,202831123,Hip-Hop
2024-09-29,slow it down,benson boone,Global,21,7322489032,237533575,Hip-Hop
2024-09-29,high road,koe wetzel & jessie murph,Global,136,4797770925,219987007,Rock
2024-09-29,all red,playboi carti,Global,190,2752383475,89546919,Hip-Hop
2024-09-29,the emptiness machine,linkin park,Global,175,4727256608,195453865,Rock
2024-09-29,360,charli xcx,Global,108,2558120406,90392213,Rock
2024-09-29,la patrulla,peso pluma & neton vega,Global,4,36194192094,3388722550,Pop
2024-09-29,good graces,sabrina carpenter,Global,192,4779804741,175242010,Hip-Hop
2024-09-29,big dawgs,hanumankind x kalmi,Global,50,6220005997,277467144,Hip-Hop
2024-09-29,south of france,future,Global,86,3740572441,112482840,EDM
2024-09-29,"i love you, i'm sorry",gracie abrams,Global,137,562768665,18303294,EDM
2024-09-29,brazzier,future,Global,51,4966884481,198776293,EDM
2024-09-29,mamushi,megan thee stallion featuring yuki chiba,Global,72,144097718,6195151,EDM
2024-09-29,press the button,future,Global,125,4641023742,174492834,Hip-Hop
2024-09-29,red wine supernova,chappell roan,Global,51,2198547898,103041959,Rock
2024-09-29,surfing a tsunami,future,Global,168,1654466053,65330726,Pop
2024-09-29,guess,charli xcx featuring billie eilish,Global,4,1784347487,174941758,Pop
2024-09-29,help me,real boston richey,Global,107,4921064760,214398406,Rock
2024-09-29,houdini,eminem,Global,163,1875892401,67262207,Hip-Hop
2024-09-29,one of wun,gunna,Global,121,16912340120,543207123,Rock
2024-09-29,mj,future,Global,65,2084526312,97604337,EDM
2024-09-29,whiskey whiskey,moneybagg yo featuring morgan wallen,Global,177,4524370303,217293669,EDM
2024-09-29,oath,future,Global,42,14130468552,704767686,Rock
2024-09-29,nights like this,the kid laroi,Global,91,901875406,27989137,EDM
2024-09-29,casual,chappell roan,Global,154,390152771,13203085,EDM
2024-09-29,"love you, miss you, mean it",luke bryan,Global,141,4899935955,149963145,Pop
2024-09-29,juno,sabrina carpenter,Global,24,21595637302,809766514,Rock
2024-09-29,think i'm in love with you,chris stapleton,Global,18,5536035957,249604402,Rock
2024-09-29,burning down,alex warren,Global,149,58966270440,2308020434,Pop
2024-09-29,wind up missin' you,tucker wetmore,Global,170,4670938273,188297550,Pop
2024-09-29,lonely road,mgk & jelly roll,Global,115,3474042242,106984258,EDM
2024-09-29,una velita,bad bunny,Global,51,1796329508,78612747,Pop
2024-09-29,aye say gang,future,Global,146,30136946,1236329,Hip-Hop
2024-09-29,told my,future,Global,15,3672390093,175035575,Pop
2024-09-29,nel,fuerza regida,Global,187,1267315010,53127943,Hip-Hop
2024-09-29,lost my dog,future,Global,170,2304840397,96286211,Pop
2024-09-29,am i okay?,megan moroney,Global,45,4472557981,141834139,EDM
2024-09-29,made my hoe faint,future,Global,33,13191108087,615268364,Pop
2024-09-29,hollon,glorilla,Global,65,3746129903,175362402,EDM
2024-09-29,chevrolet,dustin lynch featuring jelly roll,Global,146,3226040586,136807990,EDM
2024-09-29,dos dias,tito double p & peso pluma,Global,159,2924819863,97942065,Hip-Hop
2024-09-29,apple,charli xcx,Global,77,2688288500,129236714,EDM
2024-09-29,beautiful as you,thomas rhett,Global,167,1120040024,34543208,Pop
2024-09-29,shake dat ass (twerk song),bossman dlow,Global,74,2958908634,141178395,EDM
2024-09-29,belong together,mark ambor,Global,27,11860361908,456516588,Pop
2024-09-29,residuals,chris brown,Global,13,5764811338,282539284,Rock
2024-09-29,lunch,billie eilish,Global,144,2998613621,126055624,EDM
2024-09-29,prove it,21 savage & summer walker,Global,104,1821017573,71426681,Pop
2024-09-29,diet pepsi,addison rae,Global,119,3057915654,136106272,Hip-Hop
2024-09-29,coincidence,sabrina carpenter,Global,17,8878893738,277527527,Hip-Hop
2024-09-29,passport junkie,rod wave,Global,178,402477165,13335419,Pop
2024-09-29,circadian rhythm,drake,Global,149,3575342580,109071699,Rock
2024-09-29,sharpest tool,sabrina carpenter,Global,115,2275035216,80828068,Rock
2024-09-22,a bar song (tipsy),shaboozey,Global,135,3855848326,142867439,Pop
2024-09-22,i had some help,post malone featuring morgan wallen,Global,17,15538454890,687709728,EDM
2024-09-22,espresso,sabrina carpenter,Global,145,1089699359,48073960,Rock
2024-09-22,"good luck, babe!",chappell roan,Global,170,1208830171,51290734,EDM
2024-09-22,die with a smile,lady gaga & bruno mars,Global,158,4690986562,183453996,Pop
2024-09-22,birds of a feather,billie eilish,Global,191,3550487772,131161434,Rock
2024-09-22,lose control,teddy swims,Global,107,212720985,7396816,Rock
2024-09-22,taste,sabrina carpenter,Global,47,9456106050,402943465,EDM
2024-09-22,please please please,sabrina carpenter,Global,56,4164578021,146929044,Rock
2024-09-22,not like us,kendrick lamar,Global,141,4897733761,168168145,Pop
2024-09-22,beautiful things,benson boone,Global,51,2568059037,103817724,Rock
2024-09-22,million dollar baby,tommy richman,Global,110,1246821814,61139341,Pop
2024-09-22,too sweet,hozier,Global,77,921172810,35559208,Hip-Hop
2024-09-22,dancing in the flames,the weeknd,Global,194,4783984554,209997805,Pop
2024-09-22,all red,playboi carti,Global,82,2215854457,96943910,Hip-Hop
2024-09-22,ain't no love in oklahoma,luke combs,Global,164,3486315839,133024160,Rock
2024-09-22,hot to go!,chappell roan,Global,31,14938562217,527060522,Rock
2024-09-22,miles on it,marshmello & kane brown,Global,193,4006666020,120424787,Hip-Hop
2024-09-22,lies lies lies,morgan wallen,Global,15,11015189967,334525296,Rock
2024-09-22,it's ok i'm ok,tate mcrae,Global,199,692960681,33755673,EDM
2024-09-22,bed chem,sabrina carpenter,Global,18,17117415525,614626615,Pop
2024-09-22,cowgirls,morgan wallen featuring ernest,Global,135,1620009089,78384846,Pop
2024-09-22,pink skies,zach bryan,Global,45,18873608648,789333341,Hip-Hop
2024-09-22,austin,dasha,Global,139,34204772180,1612181271,Pop
2024-09-22,i am not okay,jelly roll,Global,190,1658488369,49909725,Rock
2024-09-22,i can do it with a broken heart,taylor swift,Global,153,60058448160,2009048826,Rock
2024-09-22,kehlani,jordan adetunji,Global,21,6962561555,341086366,Hip-Hop
2024-09-22,the door,teddy swims,Global,136,3459706271,126263057,EDM
2024-09-22,pink pony club,chappell roan,Global,129,1608571166,69950567,Rock
2024-09-22,who,jimin,Global,134,4989805076,194287870,Pop
2024-09-22,saturn,sza,Global,105,3854231751,179861119,Rock
2024-09-22,28,zach bryan,Global,134,2277687794,111180113,Rock
2024-09-22,tgif,glorilla,Global,61,2716024035,90036117,Rock
2024-09-22,like that,"future, metro boomin & kendrick lamar",Global,90,489625035,15384424,Rock
2024-09-22,pour me a drink,post malone featuring blake shelton,Global,82,3921775906,146013260,EDM
2024-09-22,slow it down,benson boone,Global,182,4158104429,170405248,Hip-Hop
2024-09-22,si antes te hubiera conocido,karol g,Global,15,4864280780,151597852,EDM
2024-09-22,stick season,noah kahan,Global,141,1989246069,67075409,EDM
2024-09-22,you look like you love me,ella langley featuring riley green,Global,158,3781352862,134859449,Pop
2024-09-22,stargazing,myles smith,Global,39,9090086284,329676645,EDM
2024-09-22,guy for that,post malone featuring luke combs,Global,71,3204356737,136290589,EDM
2024-09-22,the emptiness machine,linkin park,Global,1,36636912372,3549922275,Hip-Hop
2024-09-22,wanna be,glorilla & megan thee stallion,Global,38,10086878368,419582148,Pop
2024-09-22,good graces,sabrina carpenter,Global,92,3188741568,120714085,Rock
2024-09-22,high road,koe wetzel & jessie murph,Global,149,944928479,37004923,Rock
2024-09-22,sailor song,gigi perez,Global,192,2023654115,77982212,Rock
2024-09-22,big dawgs,hanumankind x kalmi,Global,6,31375303277,2704252617,Pop
2024-09-22,wildflower,billie eilish,Global,190,1282355772,58699638,Hip-Hop
2024-09-22,360,charli xcx,Global,115,2571936303,97247829,Pop
2024-09-22,mamushi,megan thee stallion featuring yuki chiba,Global,53,4956382656,192194894,EDM
2024-09-22,la patrulla,peso pluma & neton vega,Global,40,8106046111,346709754,Pop
2024-09-22,"i love you, i'm sorry",gracie abrams,Global,57,1040950604,41526234,Pop
2024-09-22,houdini,eminem,Global,176,295767010,11813092,Rock
2024-09-22,red wine supernova,chappell roan,Global,73,252994966,8899705,Rock
2024-09-22,help me,real boston richey,Global,60,3103925050,138113604,Rock
2024-09-22,guess,charli xcx featuring billie eilish,Global,155,31801613,1072984,Hip-Hop
2024-09-22,one of wun,gunna,Global,160,2974084771,91211268,Pop
2024-09-22,chevrolet,dustin lynch featuring jelly roll,Global,127,3427423791,109275848,Hip-Hop
2024-09-22,casual,chappell roan,Global,42,1260038982,51354850,Hip-Hop
2024-09-22,whiskey whiskey,moneybagg yo featuring morgan wallen,Global,100,4148460689,126949960,Pop
2024-09-22,passport junkie,rod wave,Global,114,163982910,7882085,Hip-Hop
2024-09-22,juno,sabrina carpenter,Global,154,2824607236,127280645,Hip-Hop
2024-09-22,nights like this,the kid laroi,Global,41,14210831863,509884728,EDM
2024-09-22,lonely road,mgk & jelly roll,Global,30,3029137268,129258245,Rock
2024-09-22,wind up missin' you,tucker wetmore,Global,157,1498555088,54780242,Rock
2024-09-22,circadian rhythm,drake,Global,105,3060158581,107567042,Pop
2024-09-22,si no quieres no,luis r conriquez x neton vega,Global,165,361082996,17500114,Hip-Hop
2024-09-22,"love you, miss you, mean it",luke bryan,Global,83,1586636880,71480771,Rock
2024-09-22,think i'm in love with you,chris stapleton,Global,46,276706427385,13714415661,Hip-Hop
2024-09-22,nel,fuerza regida,Global,110,212944774,6905411,Hip-Hop
2024-09-22,am i okay?,megan moroney,Global,101,2805733895,84708717,Pop
2024-09-22,apple,charli xcx,Global,100,438295885,15869212,Hip-Hop
2024-09-22,coincidence,sabrina carpenter,Global,61,3437615960,136669355,Pop
2024-09-22,talk talk,charli xcx featuring troye sivan,Global,102,2681734906,116845526,EDM
2024-09-22,bad dreams,teddy swims,Global,83,1983295654,83737672,Pop
2024-09-22,sharpest tool,sabrina carpenter,Global,199,1934244430,84923526,Rock
2024-09-22,the boy is mine,ariana grande,Global,25,1494787884,73358064,Hip-Hop
2024-09-22,dos dias,tito double p & peso pluma,Global,122,311876481,13386909,Hip-Hop
2024-09-22,neva play,megan thee stallion & rm,Global,81,133331430,5569023,Hip-Hop
2024-09-22,losers,post malone featuring jelly roll,Global,99,18971489260,835408346,EDM
2024-09-22,diet pepsi,addison rae,Global,112,4618701102,167130686,EDM
2024-09-22,shake dat ass (twerk song),bossman dlow,Global,79,4240671417,206416919,Rock
2024-09-22,lunch,billie eilish,Global,58,4175154800,153787595,Rock
2024-09-22,belong together,mark ambor,Global,76,3376657545,151266002,Pop
2024-09-22,residuals,chris brown,Global,155,4420506828,146675166,EDM
2024-09-22,band4band,central cee & lil baby,Global,182,4834755891,181496608,Rock
2024-09-22,beautiful as you,thomas rhett,Global,164,1077158954,53426290,Hip-Hop
2024-09-22,no face,drake,Global,99,4191994609,164656416,EDM
2024-09-22,femininomenon,chappell roan,Global,96,1679487939,55316378,Pop
2024-09-22,prove it,21 savage & summer walker,Global,181,4096550394,150465732,Rock
2024-09-22,fuel,eminem & jid,Global,50,11279727218,500806335,Hip-Hop
2024-09-22,close to you,gracie abrams,Global,126,189597601,5765631,Rock
2024-09-22,chihiro,billie eilish,Global,119,68645396640,2218327385,Rock
2024-09-22,slim pickins,sabrina carpenter,Global,23,16362827976,792102676,Hip-Hop
2024-09-22,i never lie,zach top,Global,126,2159165959,80710081,Hip-Hop
2024-09-22,u my everything,sexyy red & drake,Global,2,15681804607,1339283735,Hip-Hop
2024-09-22,my kink is karma,chappell roan,Global,136,4528557264,175904928,Rock
2024-09-22,nasty,tinashe,Global,44,3930170881,194409535,Hip-Hop
2024-09-22,parking lot,mustard & travis scott,Global,117,843231420,34595098,Pop
2024-09-22,worst way,riley green,Global,71,99472497740,3515197755,Pop
2024-09-15,a bar song (tipsy),shaboozey,Global,128,3112180501,141646038,Hip-Hop
2024-09-15,i had some help,post malone featuring morgan wallen,Global,177,2583190744,89708413,Rock
2024-09-15,espresso,sabrina carpenter,Global,103,2517569941,96235039,Rock
2024-09-15,die with a smile,lady gaga & bruno mars,Global,156,2355750556,109870457,Hip-Hop
2024-09-15,birds of a feather,billie eilish,Global,5,20010221572,1612650888,Pop
2024-09-15,taste,sabrina carpenter,Global,108,3491828829,105697632,Rock
2024-09-15,"good luck, babe!",chappell roan,Global,29,14556181172,520272028,Pop
2024-09-15,please please please,sabrina carpenter,Global,184,2646480212,111020882,EDM
2024-09-15,lose control,teddy swims,Global,170,62332385480,1963445066,Rock
2024-09-15,not like us,kendrick lamar,Global,31,3840369021,154768346,Pop
2024-09-15,million dollar baby,tommy richman,Global,129,4713012657,187179480,Hip-Hop
2024-09-15,too sweet,hozier,Global,173,4484164482,166356615,Hip-Hop
2024-09-15,beautiful things,benson boone,Global,177,2964126258,116925776,EDM
2024-09-15,ain't no love in oklahoma,luke combs,Global,75,3394297466,148772806,EDM
2024-09-15,miles on it,marshmello & kane brown,Global,27,1631157331,63145936,Rock
2024-09-15,bed chem,sabrina carpenter,Global,125,4065894142,189559745,Pop
2024-09-15,lies lies lies,morgan wallen,Global,165,479610185,22447289,Rock
2024-09-15,hot to go!,chappell roan,Global,192,4946037477,166214827,Rock
2024-09-15,austin,dasha,Global,25,20998130070,895382338,Pop
2024-09-15,cowgirls,morgan wallen featuring ernest,Global,112,4934567152,227418524,Hip-Hop
2024-09-15,the emptiness machine,linkin park,Global,23,13061694930,411163232,Pop
2024-09-15,pink skies,zach bryan,Global,66,1979326661,89042477,EDM
2024-09-15,i am not okay,jelly roll,Global,88,2702114386,94030704,EDM
2024-09-15,kehlani,jordan adetunji,Global,54,4606042537,175224603,Pop
2024-09-15,saturn,sza,Global,68,3248746422,109581641,Pop
2024-09-15,like that,"future, metro boomin & kendrick lamar",Global,183,4290423274,165023300,Pop
2024-09-15,the door,teddy swims,Global,76,1929359835,92925669,Hip-Hop
2024-09-15,28,zach bryan,Global,147,4675795971,218551869,Pop
2024-09-15,pour me a drink,post malone featuring blake shelton,Global,2,30260445715,2629340721,Hip-Hop
2024-09-15,who,jimin,Global,190,866283813,37079499,Rock
2024-09-15,good graces,sabrina carpenter,Global,176,4655565431,144922455,Hip-Hop
2024-09-15,slow it down,benson boone,Global,49,304422420671,10468022960,Hip-Hop
2024-09-15,i can do it with a broken heart,taylor swift,Global,117,2739132215,92464897,Pop
2024-09-15,tgif,glorilla,Global,24,11136600412,541685417,Pop
2024-09-15,pink pony club,chappell roan,Global,45,9353148798,282871392,Pop
2024-09-15,neva play,megan thee stallion & rm,Global,60,3469133742,135412082,Hip-Hop
2024-09-15,guy for that,post malone featuring luke combs,Global,140,4625969890,219458375,EDM
2024-09-15,si antes te hubiera conocido,karol g,Global,69,1380914290,48508943,EDM
2024-09-15,stick season,noah kahan,Global,43,11988267039,416010867,Hip-Hop
2024-09-15,wanna be,glorilla & megan thee stallion,Global,73,3111228066,136592384,Rock
2024-09-15,big dawgs,hanumankind x kalmi,Global,52,3456214211,136082344,Rock
2024-09-15,you look like you love me,ella langley featuring riley green,Global,142,3030517373,101210885,Rock
2024-09-15,high road,koe wetzel & jessie murph,Global,167,2486274314,109242082,Pop
2024-09-15,stargazing,myles smith,Global,53,1917257017,61894764,Hip-Hop
2024-09-15,wildflower,billie eilish,Global,144,3178088315,124665982,Pop
2024-09-15,360,charli xcx,Global,105,50832048280,2058603199,Pop
2024-09-15,sailor song,gigi perez,Global,5,45766595139,3361127558,Pop
2024-09-15,houdini,eminem,Global,13,305604364,14064444,Hip-Hop
2024-09-15,juno,sabrina carpenter,Global,84,4664705990,204611600,Pop
2024-09-15,chevrolet,dustin lynch featuring jelly roll,Global,130,1175783953,38117917,Hip-Hop
2024-09-15,mamushi,megan thee stallion featuring yuki chiba,Global,96,547928713,20396679,Pop
2024-09-15,guess,charli xcx featuring billie eilish,Global,16,8034736524,351506995,Pop
2024-09-15,red wine supernova,chappell roan,Global,70,107671809,3995912,EDM
2024-09-15,one of wun,gunna,Global,119,21889140000,909079456,EDM
2024-09-15,help me,real boston richey,Global,103,2322306096,115349006,Rock
2024-09-15,"i love you, i'm sorry",gracie abrams,Global,80,330533189,12438722,Hip-Hop
2024-09-15,la patrulla,peso pluma & neton vega,Global,32,20282800794,749622724,Pop
2024-09-15,whiskey whiskey,moneybagg yo featuring morgan wallen,Global,173,4899899726,224324724,EDM
2024-09-15,circadian rhythm,drake,Global,65,3893595832,143125276,Rock
2024-09-15,coincidence,sabrina carpenter,Global,144,1813056970,76004599,Rock
2024-09-15,losers,post malone featuring jelly roll,Global,92,49941576780,1732578421,Rock
2024-09-15,no face,drake,Global,174,4717474522,185972402,Pop
2024-09-15,sharpest tool,sabrina carpenter,Global,56,4049576587,149472261,Pop
2024-09-15,gata only,floyymenor x cris mj,Global,66,76755910,3204262,Rock
2024-09-15,lonely road,mgk & jelly roll,Global,176,2602479822,87078987,Rock
2024-09-15,nights like this,the kid laroi,Global,24,9638173837,377745001,EDM
2024-09-15,apple,charli xcx,Global,79,4509339190,193007495,Pop
2024-09-15,the boy is mine,ariana grande,Global,141,4749883301,194478949,Rock
2024-09-15,think i'm in love with you,chris stapleton,Global,138,1543105466,77089996,Hip-Hop
2024-09-15,"love you, miss you, mean it",luke bryan,Global,157,1293916437,53110864,Hip-Hop
2024-09-15,wind up missin' you,tucker wetmore,Global,83,260899730,8992680,Hip-Hop
2024-09-15,casual,chappell roan,Global,85,490200451,18690310,Pop
2024-09-15,band4band,central cee & lil baby,Global,23,4860062858,161423229,Pop
2024-09-15,am i okay?,megan moroney,Global,44,2510747842,91347336,Pop
2024-09-15,slim pickins,sabrina carpenter,Global,159,675568212,20827487,Rock
2024-09-15,nel,fuerza regida,Global,126,3569029294,137709011,Hip-Hop
2024-09-15,lunch,billie eilish,Global,100,3371956454,136390383,Pop
2024-09-15,si no quieres no,luis r conriquez x neton vega,Global,104,2932564674,125969504,Hip-Hop
2024-09-15,belong together,mark ambor,Global,22,17910817026,599878214,Hip-Hop
2024-09-15,it's up,"drake, young thug & 21 savage",Global,59,4656041069,231888264,Rock
2024-09-15,chihiro,billie eilish,Global,43,12245886895,583906508,Hip-Hop
2024-09-15,beautiful as you,thomas rhett,Global,44,13779599601,601494086,Hip-Hop
2024-09-15,don't smile,sabrina carpenter,Global,12,14194951428,548615486,Hip-Hop
2024-09-15,dos dias,tito double p & peso pluma,Global,91,3663515266,114188369,Hip-Hop
2024-09-15,ruby rosary,a$ap rocky featuring j. cole,Global,99,552294052,19030224,EDM
2024-09-15,diet pepsi,addison rae,Global,146,2946449565,132544159,Hip-Hop
2024-09-15,dumb & poetic,sabrina carpenter,Global,33,17815258672,577038301,Pop
2024-09-15,crazy,le sserafim,Global,58,4779908056,180670341,EDM
2024-09-15,u my everything,sexyy red & drake,Global,3,26157806179,2417497922,Pop
2024-09-15,prove it,21 savage & summer walker,Global,110,363388973,11770029,Pop
2024-09-15,disco,surf curse,Global,16,15008909224,669229627,Hip-Hop
2024-09-15,femininomenon,chappell roan,Global,126,4553884344,179351891,EDM
2024-09-15,shake dat ass (twerk song),bossman dlow,Global,167,2342319841,108987522,EDM
2024-09-15,nasty,tinashe,Global,24,4652659749,212025122,Pop
2024-09-15,baby i'm back,the kid laroi,Global,10,21986438339,2002387686,Pop
2024-09-15,close to you,gracie abrams,Global,136,3155003424,112322485,Pop
2024-09-15,residuals,chris brown,Global,44,8881172721,377723485,Pop
2024-09-15,devil is a lie,tommy richman,Global,122,1416595652,43400739,EDM
2024-09-15,parking lot,mustard & travis scott,Global,116,3166450139,152485008,Pop
2024-09-15,american nights,zach bryan,Global,174,4622120487,183124385,Pop
2024-09-08,a bar song (tipsy),shaboozey,Global,43,7820077345,256765548,Pop
2024-09-08,i had some help,post malone featuring morgan wallen,Global,24,21835072278,1004261542,EDM
2024-09-08,espresso,sabrina carpenter,Global,44,12391957722,401612803,Hip-Hop
2024-09-08,please please please,sabrina carpenter,Global,34,5749868650,194556073,Hip-Hop
2024-09-08,taste,sabrina carpenter,Global,61,4298840623,148868937,EDM
2024-09-08,die with a smile,lady gaga & bruno mars,Global,144,2234257137,101237082,Rock
2024-09-08,birds of a feather,billie eilish,Global,67,3790994322,178243398,Hip-Hop
2024-09-08,"good luck, babe!",chappell roan,Global,165,1526470324,73921482,Hip-Hop
2024-09-08,lose control,teddy swims,Global,163,2898085861,132975958,Pop
2024-09-08,not like us,kendrick lamar,Global,34,2093136589,76934178,Pop
2024-09-08,million dollar baby,tommy richman,Global,89,4427177240,150957242,Pop
2024-09-08,too sweet,hozier,Global,145,3727676208,124622845,Rock
2024-09-08,beautiful things,benson boone,Global,44,8012800967,308199186,Pop
2024-09-08,ain't no love in oklahoma,luke combs,Global,93,4974175961,195116655,EDM
2024-09-08,bed chem,sabrina carpenter,Global,8,22389160932,2058064757,Pop
2024-09-08,cowgirls,morgan wallen featuring ernest,Global,196,151339220,5854598,Pop
2024-09-08,miles on it,marshmello & kane brown,Global,110,2245282183,78511296,Pop
2024-09-08,hot to go!,chappell roan,Global,23,3946060020,131400731,Hip-Hop
2024-09-08,lies lies lies,morgan wallen,Global,54,501566613,15182526,Hip-Hop
2024-09-08,pink skies,zach bryan,Global,81,2073050617,97745235,Pop
2024-09-08,austin,dasha,Global,112,1052752591,50006794,Hip-Hop
2024-09-08,good graces,sabrina carpenter,Global,35,10902133030,402889305,EDM
2024-09-08,i am not okay,jelly roll,Global,19,1271033566,54935177,Pop
2024-09-08,kehlani,jordan adetunji,Global,17,29033372409,1441440259,Hip-Hop
2024-09-08,saturn,sza,Global,188,1651712492,72651965,EDM
2024-09-08,pour me a drink,post malone featuring blake shelton,Global,139,3786499945,183880587,Pop
2024-09-08,like that,"future, metro boomin & kendrick lamar",Global,179,2020908808,85756186,Hip-Hop
2024-09-08,who,jimin,Global,133,2457986372,86151259,EDM
2024-09-08,juno,sabrina carpenter,Global,177,2862094205,111873821,Rock
2024-09-08,pink pony club,chappell roan,Global,153,4382780870,194876162,Rock
2024-09-08,big dawgs,hanumankind x kalmi,Global,117,4910100992,153097935,Hip-Hop
2024-09-08,i can do it with a broken heart,taylor swift,Global,73,2873618554,107231875,Rock
2024-09-08,28,zach bryan,Global,156,1916454636,57535131,EDM
2024-09-08,slow it down,benson boone,Global,39,310291157405,15225157249,Hip-Hop
2024-09-08,tgif,glorilla,Global,131,1149582553,54850330,EDM
2024-09-08,the door,teddy swims,Global,74,4361074674,198176222,Rock
2024-09-08,si antes te hubiera conocido,karol g,Global,172,3260240251,127413393,Pop
2024-09-08,wanna be,glorilla & megan thee stallion,Global,62,2129042144,79513749,Hip-Hop
2024-09-08,stick season,noah kahan,Global,75,4697924286,159847888,Rock
2024-09-08,guy for that,post malone featuring luke combs,Global,5,27836270230,1962472372,EDM
2024-09-08,you look like you love me,ella langley featuring riley green,Global,56,180314390,6514431,Rock
2024-09-08,sharpest tool,sabrina carpenter,Global,4,3735235614,369083839,Pop
2024-09-08,coincidence,sabrina carpenter,Global,186,4768692649,155523470,Pop
2024-09-08,houdini,eminem,Global,33,9109861792,295742168,Pop
2024-09-08,stargazing,myles smith,Global,161,591839026,20431710,EDM
2024-09-08,high road,koe wetzel & jessie murph,Global,101,4179505788,150360318,Rock
2024-09-08,360,charli xcx,Global,65,4252423340,202689596,EDM
2024-09-08,guess,charli xcx featuring billie eilish,Global,63,79919636300,2601212787,Pop
2024-09-08,wildflower,billie eilish,Global,95,3263729509,151833352,Rock
2024-09-08,slim pickins,sabrina carpenter,Global,49,9788930846,298730141,Hip-Hop
2024-09-08,red wine supernova,chappell roan,Global,157,4709343793,222039378,Rock
2024-09-08,mamushi,megan thee stallion featuring yuki chiba,Global,192,71531798080,2699663218,Pop
2024-09-08,one of wun,gunna,Global,96,1947905677,91212855,Pop
2024-09-08,dirt cheap,cody johnson,Global,53,4230397332,207514945,Pop
2024-09-08,whiskey whiskey,moneybagg yo featuring morgan wallen,Global,18,103535577,3444454,Pop
2024-09-08,chevrolet,dustin lynch featuring jelly roll,Global,169,46054976,2067242,EDM
2024-09-08,losers,post malone featuring jelly roll,Global,177,1683049867,69229065,EDM
2024-09-08,help me,real boston richey,Global,95,4199453297,169541272,Rock
2024-09-08,beautiful as you,thomas rhett,Global,175,2586802037,85318456,EDM
2024-09-08,no face,drake,Global,127,3047790911,148382623,EDM
2024-09-08,fortnight,taylor swift featuring post malone,Global,188,12567537580,565170028,Pop
2024-09-08,dumb & poetic,sabrina carpenter,Global,77,2864945353,104703414,Hip-Hop
2024-09-08,don't smile,sabrina carpenter,Global,142,3679950722,145092041,Rock
2024-09-08,nights like this,the kid laroi,Global,171,1799973347,76242271,Rock
2024-09-08,apple,charli xcx,Global,85,3778739796,159510814,Hip-Hop
2024-09-08,gata only,floyymenor x cris mj,Global,17,21700155402,653141233,Pop
2024-09-08,"i love you, i'm sorry",gracie abrams,Global,112,2544235981,91991839,EDM
2024-09-08,sailor song,gigi perez,Global,58,3374020582,166667777,Pop
2024-09-08,circadian rhythm,drake,Global,137,2183745658,78618100,EDM
2024-09-08,la patrulla,peso pluma & neton vega,Global,150,4812556475,181520293,Rock
2024-09-08,band4band,central cee & lil baby,Global,83,455034939,15930201,Rock
2024-09-08,lonely road,mgk & jelly roll,Global,84,1345380194,45878946,Pop
2024-09-08,the boy is mine,ariana grande,Global,104,4273792654,152338139,EDM
2024-09-08,it's up,"drake, young thug & 21 savage",Global,118,3137486911,148316987,Rock
2024-09-08,think i'm in love with you,chris stapleton,Global,35,10903983716,407093229,Pop
2024-09-08,crazy,le sserafim,Global,46,7105452538,277032561,Hip-Hop
2024-09-08,lie to girls,sabrina carpenter,Global,155,2971770992,138159238,Pop
2024-09-08,wind up missin' you,tucker wetmore,Global,28,10405963695,512675413,Pop
2024-09-08,lunch,billie eilish,Global,138,3537368957,106398584,Pop
2024-09-08,"love you, miss you, mean it",luke bryan,Global,49,17290551088,646906239,Hip-Hop
2024-09-08,casual,chappell roan,Global,15,2244101633,76318205,Pop
2024-09-08,nel,fuerza regida,Global,149,1732245502,67281721,Rock
2024-09-08,si no quieres no,luis r conriquez x neton vega,Global,126,1515118843,73158759,EDM
2024-09-08,tailor swif,a$ap rocky,Global,56,36095061300,1495177025,Rock
2024-09-08,am i okay?,megan moroney,Global,77,1193059422,51238725,Pop
